time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.947221192539206e-06,-9.871231550259994e-08,10.007413747560399,6.282907236962883,0.0010527090497820524,0.0,-0.00014623249075290562,-1.7844736531372195e-05,0.24710350506598605,-0.016051004165172307,0.03958007434246011,0.0,479.3783498817785,482.3760039779071,482.3639078544059,481.15055351268177
0.12000000000000001,-4.3045696585693836e-05,-1.0492962423089305e-05,10.026304262605441,6.2824111775558595,0.003236996438547912,0.0,-0.001469138221175911,-0.0004032876571704605,0.3825435506798864,0.003961617112322604,0.0291491044281027,0.0,448.83792775830716,447.991297691779,446.94392272841753,448.5718395156548
0.18,-0.0001986065290042524,-4.84598190726184e-05,10.0503469239606,6.282404262322045,0.0055527418548910745,0.0,-0.003908654318064914,-0.0008501068678961868,0.4188648124409112,-0.009862069675868633,0.05281711422646444,0.0,414.1707452237372,416.2476268838535,418.1318375083564,416.9260118395274
0.23999999999999996,-0.0005501800130902346,-0.00011609573240828894,10.076644505665833,6.281348750102216,0.00978587734465819,0.0,-0.008166750118442576,-0.0014733215791665646,0.45770364146640313,-0.041270018087742395,0.09273232837832232,0.0,415.19380858301304,418.6842388054596,418.91099966941107,416.1712740522285
0.3,-0.0012926161785195736,-0.000257878246191295,10.10976027835975,6.27898791803468,0.015593289275743771,0.0,-0.017235740132027094,-0.003530597659645993,0.6460590271629589,-0.03575588976086632,0.10386707328155738,0.0,463.6625303445961,464.54386509374365,464.38642414984895,464.81797572981293
0.36000000000000004,-0.002655939352924819,-0.0005600086065179974,10.15050311335111,6.276722239373271,0.022097036199802744,0.0,-0.028826399436439085,-0.006753702431908787,0.7119841172402733,-0.04210727031638695,0.11618217882091893,0.0,425.6182752182652,426.6816234155709,426.9858397387107,426.4429703633921
0.4200000000000001,-0.004929512186122628,-0.0011263893366916906,10.198822763042807,6.273784758119483,0.02879582538687142,0.0,-0.04774351196808347,-0.01243166245726852,0.8985206883052554,-0.06842516145314832,0.10054736256227532,0.0,464.82917384020647,463.6128520401188,465.1394652215644,463.0725303833939
0.48000000000000015,-0.008505776891088565,-0.002114042546260182,10.25886047706512,6.269379395806872,0.03472658787720295,0.0,-0.07216275100662391,-0.02098465704278313,1.1025340123947143,-0.08597896359511172,0.09520867933254698,0.0,470.95532898029603,470.550065390566,469.33222334908334,467.9639634638459
0.5400000000000001,-0.013532923330994831,-0.0036605808773279226,10.326828256010756,6.2642414769050525,0.040555997712777625,0.0,-0.09596199522188345,-0.03106038315216237,1.1629694417141776,-0.08494735033372655,0.10079059656952519,0.0,425.7236355827999,426.2094344299913,425.1374930321816,425.21946383868624
0.6000000000000002,-0.020119637620022397,-0.00591911363978756,10.398817402972892,6.259427993132123,0.04612266548942756,0.0,-0.12417099364594407,-0.04470669877018375,1.2365551412123243,-0.07214969189897544,0.06757264362648563,0.0,431.5944421142591,428.7891031420275,429.37580905075254,430.45453509043085
0.6600000000000003,-0.028292866029477254,-0.00897864681361105,10.470750417543025,6.256093197264452,0.05050509979217921,0.0,-0.1485966028829244,-0.05756172577620174,1.1612679675100603,-0.03435522017143081,0.08219030579306555,0.0,378.57573091837753,379.98457470050005,377.1270836247421,380.7565291097537
0.7200000000000003,-0.03849645225489794,-0.013119739173318516,10.547777749105686,6.253906512510948,0.055228993640652035,0.0,-0.1921072156709567,-0.08072816085291504,1.4059983546525443,-0.04098957907363546,0.07072281319515993,0.0,482.5343320661546,481.6723535066663,482.9549018182034,482.45380462266485
0.7800000000000004,-0.051339199955797964,-0.018660153643323976,10.637931164311937,6.2520363669353785,0.05962430307321753,0.0,-0.23647193080705106,-0.10418888661160926,1.5988242673538025,-0.01652071162780125,0.07788921176894606,0.0,467.7950107301309,468.35652272632683,466.6719978174032,468.57747518693736
0.8400000000000004,-0.0665985563922934,-0.025465152560848178,10.733860970038757,6.2507690515527194,0.06452512125019094,0.0,-0.2725930636167007,-0.12274046834662707,1.5988020754479588,-0.032433286835599026,0.08834670554732227,0.0,406.92321110488786,407.86421813758363,407.43357036967285,406.0084275293592
0.9000000000000005,-0.08441668531010368,-0.03355919148600967,10.834389488247915,6.2491737806157985,0.07014473461110171,0.0,-0.32193344105805216,-0.14724472330627192,1.7518711472734976,-0.016907312955389827,0.10258973548047216,0.0,456.2573619396728,457.4000681634868,455.7133749469113,456.95245919023085
0.9600000000000005,-0.10536949692104693,-0.04317558487107142,10.944715838736075,6.248907293907788,0.0769678930429496,0.0,-0.3772152549472511,-0.173354632046827,1.925330103064351,0.013024789151913603,0.12979458044494482,0.0,461.77315408887165,463.9246249662876,462.70131354919846,465.05166494346304
1.0200000000000005,-0.12931366636784783,-0.0541460192071304,11.059229291603346,6.249570990282791,0.08459639999892143,0.0,-0.42156511458670554,-0.1922676718281256,1.8917828197600912,0.006813822436257796,0.12123104540876613,0.0,396.6738094667818,395.90353449749887,397.8645075719049,397.29537150563846
1.0800000000000005,-0.1563536354930593,-0.0663606148417299,11.175300678482888,6.250521229523528,0.09174800662911231,0.0,-0.4804781091719189,-0.21480711773529448,1.9770441356513444,0.029568831724177874,0.11477509031969947,0.0,437.94983275350876,437.42556647225655,434.9119372653036,436.81349266909746
1.1400000000000006,-0.18698840300716632,-0.0798745466309248,11.295575096044006,6.252387332053843,0.09844595909479459,0.0,-0.5413239977081069,-0.23547947259582805,2.0319350774021636,0.03400305752226324,0.10446841804792362,0.0,428.2486174220293,427.3826113682936,426.85194105185855,427.230539341844
